Number,Name,Type1,Type2
1,Bulbasaur,grass,poison
2,Ivysaur,grass,poison
3,Venusaur,grass,poison
4,Charmander,fire,none
5,Charmeleon,fire,none
6,Charizard,fire,flying
7,Squirtle,water,none
8,Wartortle,water,none
9,Blastoise,water,none
10,Caterpie,bug,none
11,Metapod,bug,none
12,Butterfree,bug,flying
13,Weedle,bug,poison
14,Kakuna,bug,poison
15,Beedrill,bug,poison
16,Pidgey,normal,flying
17,Pidgeotto,normal,flying
18,Pidgeot,normal,flying
19,Rattata,normal,none
20,Raticate,normal,none
21,Spearow,normal,flying
22,Fearow,normal,flying
23,Ekans,poison,none
24,Arbok,poison,none
25,Pikachu,electric,none
26,Raichu,electric,none
27,Sandshrew,ground,none
28,Sandslash,ground,none
29,Nidoran-f,poison,none
30,Nidorina,poison,none
31,Nidoqueen,poison,ground
32,Nidoran-m,poison,none
33,Nidorino,poison,none
34,Nidoking,poison,ground
35,Clefairy,fairy,none
36,Clefable,fairy,none
37,Vulpix,fire,none
38,Ninetales,fire,none
39,Jigglypuff,normal,fairy
40,Wigglytuff,normal,fairy
41,Zubat,poison,flying
42,Golbat,poison,flying
43,Oddish,grass,poison
44,Gloom,grass,poison
45,Vileplume,grass,poison
46,Paras,bug,grass
47,Venonat,bug,poison
48,Venomoth,bug,poison
49,Diglett,ground,none
50,Dugtrio,ground,none
51,Meowth,normal,none
52,Persian,normal,none
53,Psyduck,water,none
54,Golduck,water,none
55,Mankey,fighting,none
56,Primeape,fighting,none
57,Growlithe,fire,none
58,Arcanine,fire,none
59,Poliwag,water,none
60,Poliwhirl,water,none
61,Poliwrath,water,fighting
62,Abra,psychic,none
63,Kadabra,psychic,none
64,Alakazam,psychic,none
65,Machop,fighting,none
66,Machoke,fighting,none
67,Machamp,fighting,none
68,Bellsprout,grass,poison
69,Weepinbell,grass,poison
70,Victreebel,grass,poison
71,Tentacool,water,poison
72,Tentacruel,water,poison
73,Geodude,rock,ground
74,Graveler,rock,ground
75,Golem,rock,ground
76,Ponyta,fire,none
77,Rapidash,fire,none
78,Slowpoke,water,psychic
79,Slowbro,water,psychic
80,Magnemite,electric,steel
81,Magneton,electric,steel
82,Farfetchd,normal,flying
83,Doduo,normal,flying
84,Dodrio,normal,flying
85,Seel,water,none
86,Dewgong,water,ice
87,Grimer,poison,none
88,Muk,poison,none
89,Shellder,water,none
90,Cloyster,water,ice
91,Gastly,ghost,poison
92,Haunter,ghost,poison
93,Gengar,ghost,poison
94,Onix,rock,ground
95,Drowzee,psychic,none
96,Hypno,psychic,none
97,Krabby,water,none
98,Kingler,water,none
99,Voltorb,electric,none
100,Electrode,electric,none
101,Exeggcute,grass,psychic
102,Exeggutor,grass,psychic
103,Cubone,ground,none
104,Marowak,ground,none
105,Hitmonlee,fighting,none
106,Hitmonchan,fighting,none
107,Lickitung,normal,none
108,Koffing,poison,none
109,Weezing,poison,none
110,Rhyhorn,ground,rock
111,Rhydon,ground,rock
112,Chansey,normal,none
113,Tangela,grass,none
114,Kangaskhan,normal,none
115,Horsea,water,none
116,Seadra,water,none
117,Goldeen,water,none
118,Seaking,water,none
119,Staryu,water,none
120,Starmie,water,psychic
121,Mr-Mime,psychic,fairy
122,Scyther,bug,flying
123,Jynx,ice,psychic
124,Electabuzz,electric,none
125,Magmar,fire,none
126,Pinsir,bug,none
127,Tauros,normal,none
128,Magikarp,water,none
129,Gyarados,water,flying
130,Lapras,water,ice
131,Ditto,normal,none
132,Eevee,normal,none
133,Vaporeon,water,none
134,Jolteon,electric,none
135,Flareon,fire,none
136,Porygon,normal,none
137,Omanyte,rock,water
138,Omastar,rock,water
139,Kabuto,rock,water
140,Aerodactyl,rock,flying
141,Snorlax,normal,none
142,Articuno,ice,flying
143,Zapdos,electric,flying
